Price,Close,High,Low,Open,Volume
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
Date,,,,,
2014-01-01,1412.2314453125,1417.3871874587996,1392.2713758421987,1410.4637443091099,90587
2014-01-02,1399.4525146484375,1420.5910203749258,1396.0643837743912,1412.673273923063,268521
2014-01-03,1396.137939453125,1406.0442920321327,1377.3194479309,1394.2597406059858,236545
2014-01-06,1390.7982177734375,1399.3420005166247,1381.0022723579114,1396.4694978083198,284336
2014-01-07,1392.01318359375,1399.2681195187379,1384.6847021179437,1384.6847021179437,247757
2014-01-08,1412.8939208984375,1416.3555964811067,1395.6589986224874,1395.6589986224874,578916
2014-01-09,1406.3756103515625,1412.415246532564,1395.8063594210435,1409.874148841702,266751
2014-01-10,1399.6365966796875,1409.321953776019,1373.6368919304864,1403.2455439323587,450989
2014-01-13,1396.3218994140625,1411.9363921481968,1390.1349927029785,1395.9167695455762,274307
2014-01-14,1377.7247314453125,1398.3844715221303,1373.6000660591292,1390.5772233137159,261322
2014-01-15,1394.996337890625,1402.3616828636484,1378.1296799206023,1380.2656479445782,350260
2014-01-16,1405.12353515625,1412.59937747658,1393.5231180792164,1399.415393419932,683523
2014-01-17,1424.052490234375,1428.1402923778044,1404.0556519304905,1405.1235909147788,505335
2014-01-20,1422.6163330078125,1437.5680187565813,1417.865721625875,1427.551078007794,240785
2014-01-21,1430.64453125,1433.296037283732,1419.3755182204013,1425.1941583473902,148033
2014-01-22,1436.021240234375,1438.45183998289,1419.3019434956627,1431.8230296603883,230050
2014-01-23,1428.1771240234375,1435.8002374005112,1411.199969429699,1435.50560564639,779924
2014-01-24,1422.7637939453125,1427.4039977033062,1408.1436007019277,1424.9733976569275,584605
2014-01-27,1408.84326171875,1417.0924123551388,1392.6026396364234,1414.1462742837143,451184
2014-01-28,1432.33837890625,1434.7689783341668,1404.4237977128687,1404.4237977128687,342624
2014-01-29,1408.95361328125,1449.4998728214857,1404.6817671949577,1436.2422520334842,213569
2014-01-30,1414.7720947265625,1421.5114025182259,1386.194613740499,1406.0441800037788,510937
2014-01-31,1400.5205078125,1412.7101911094167,1392.7868947007296,1410.4637246704904,325157
2014-02-03,1348.4473876953125,1424.015808804443,1338.4673093371518,1400.1889359032832,208407
2014-02-04,1376.030517578125,1386.1578664964707,1320.7535698820304,1340.4927295555667,323893
2014-02-05,1395.5118408203125,1397.9424405636046,1361.152579316374,1383.2117509896993,202518
2014-02-06,1397.1690673828125,1401.6251370190143,1371.832352807931,1392.197459566271,196282
2014-02-07,1425.4517822265625,1428.7294141350728,1395.6590027725674,1400.4096135195668,313921
2014-02-10,1425.4517822265625,1430.0551220624075,1407.3330546144737,1421.5113413088757,116609
2014-02-11,1426.2989501953125,1432.559492966632,1414.3671281712172,1430.313026949798,196706
2014-02-12,1419.67041015625,1443.202654143097,1397.3166035215834,1430.8656998654749,269629
2014-02-13,1401.5145263671875,1428.6558022126806,1395.7327490560617,1428.6558022126806,115962
2014-02-14,1354.928955078125,1402.877336827897,1339.0198266052103,1402.877336827897,473215
2014-02-17,1359.163818359375,1376.8406450167506,1333.1273437437467,1358.9060492857527,369333
2014-02-18,1358.6483154296875,1369.5858342256524,1349.3311364890537,1362.5887568257365,223017
2014-02-19,1341.1558837890625,1370.69090354622,1337.7309798849124,1370.69090354622,207356
2014-02-20,1356.9912109375,1372.9003385092408,1336.8101472072276,1336.8101472072276,291358
2014-02-21,1371.9427490234375,1373.6368143022607,1351.5407797558437,1361.8522625441715,182566
2014-02-24,1371.2799072265625,1383.138094168673,1362.5887645485477,1371.9427163199596,133340
2014-02-25,1401.07275390625,1406.2653580995973,1366.3083614380575,1371.279969317604,246928
2014-02-26,1414.80908203125,1423.7211311403976,1384.684804213113,1401.8092306481954,375745
2014-02-28,1433.5538330078125,1442.0976147904344,1407.5173577420023,1417.8288402163028,358544
2014-03-03,1411.9735107421875,1438.41502758135,1406.7809065110998,1430.350010703956,231994
2014-03-04,1415.5823974609375,1419.338795208505,1388.4043472760245,1409.726984351601,220106
2014-03-05,1414.625,1422.2481140640646,1404.5712861316267,1421.5115795668796,134918
2014-03-06,1442.0609130859375,1446.553755546518,1414.146237601484,1418.0499064084618,181924
2014-03-07,1439.7039794921875,1476.7517015341755,1434.7692342087648,1447.29032095494,407477
2014-03-10,1476.751708984375,1484.117054166342,1436.4633068026153,1442.1345866291304,393372
2014-03-11,1463.16259765625,1501.2045313727215,1456.902054617118,1480.434295135905,393531
2014-03-12,1442.8709716796875,1470.7856450094487,1439.004165859719,1461.2843327271567,334556
2014-03-13,1448.5423583984375,1478.7771354453541,1441.6190060580782,1451.1570918247835,162751
2014-03-14,1454.14013671875,1466.3665917514543,1439.924984539492,1453.8455049293718,208702
2014-03-18,1469.3126220703125,1473.805464324586,1453.2193619933942,1465.703585210358,223972
2014-03-19,1479.4766845703125,1483.380353041913,1471.5958020743506,1474.5788025016104,325884
2014-03-20,1453.1090087890625,1484.0802321833369,1449.573607041147,1482.5335276344995,143305
2014-03-21,1456.7547607421875,1463.8254740472653,1452.4460518460462,1453.1089508859905,280359
2014-03-24,1488.86767578125,1491.2614129813642,1458.1542221310774,1460.695230272214,158949
2014-03-25,1483.4173583984375,1499.3632585328637,1473.6582761898221,1483.3804957095228,233046
2014-03-26,1502.2357177734375,1516.303508456536,1488.5361943328753,1492.2188667582413,248113
2014-03-27,1526.357421875,1535.4535155292344,1493.4710468598375,1501.4992913064875,500824
2014-03-28,1515.7880859375,1544.365662102449,1509.6012677180177,1531.991845845481,347600
2014-03-31,1534.6434326171875,1546.7225270920387,1518.2922220478129,1523.6689601293997,273254
2014-04-01,1521.091064453125,1534.9379494811421,1506.2499657075584,1534.6434075984605,129157
2014-04-02,1512.54736328125,1531.991802695961,1491.777035856992,1527.1674656229102,217385
2014-04-03,1512.36328125,1523.8899749623151,1491.48245495345,1520.943836779691,402747
2014-04-04,1494.354736328125,1513.7992634352336,1485.7372294749234,1513.5045417698211,297397
2014-04-07,1489.714599609375,1515.7142124300074,1477.8932753226247,1477.8932753226247,218150
2014-04-09,1496.1224365234375,1512.8417322650105,1469.3125650584625,1506.212922337851,300812
2014-04-10,1489.38330078125,1503.7824967326085,1481.8338219351238,1501.7938894879603,219894
2014-04-11,1478.6297607421875,1493.6918541759776,1466.1823106422564,1486.25287426469,255157
2014-04-15,1476.309814453125,1484.9272324002789,1439.4830883387933,1480.2133934758444,217260
2014-04-16,1473.4739990234375,1491.997768125441,1465.961293845528,1470.8592658171526,205618
2014-04-17,1484.89013671875,1491.3348123873136,1466.5504131201274,1466.9923157556043,164096
2014-04-21,1483.4908447265625,1499.510468628307,1477.7827028765157,1480.8393387522094,161232
2014-04-22,1475.536376953125,1495.1650394179233,1472.7007371015457,1487.79969439616,179445
2014-04-23,1476.4937744140625,1484.6324259826376,1466.5136968473657,1473.0688713064771,362968
2014-04-24,1476.4937744140625,1476.4937744140625,1476.4937744140625,1476.4937744140625,0
2014-04-25,1470.15966796875,1487.0630981280044,1460.0323189844705,1487.0630981280044,404437
2014-04-28,1462.02099609375,1472.3324791896252,1456.828391856871,1472.1483455629132,356855
2014-04-29,1428.5086669921875,1465.6300238842248,1422.2481237235959,1462.941654969442,399483
2014-04-30,1408.3643798828125,1435.5056566404712,1399.4154682487917,1428.5085792992272,268227
2014-05-02,1404.3502197265625,1420.0753023838051,1401.6987136508349,1410.463491711677,170700
2014-05-05,1413.29931640625,1417.7553864387196,1401.1464962184277,1406.7810035600369,257053
2014-05-06,1399.6734619140625,1416.319125330765,1393.3392825495305,1414.1095216053,261490
2014-05-07,1375.9569091796875,1405.0867939688017,1370.690669656757,1399.4155144265656,145721
2014-05-08,1384.1324462890625,1392.0501920906363,1378.0928994086696,1392.0501920906363,165120
2014-05-09,1414.109375,1419.3019791801112,1377.3195127487327,1377.3195127487327,363002
