Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,
2014-01-01,284.0974426269531,285.14889089453374,277.74679876591244,278.4197188214401,1883623
2014-01-02,276.4850158691406,285.14883863458124,274.63450029667973,284.3077029604202,5276461
2014-01-03,277.0318298339844,279.17676622074424,272.57376975813537,275.89630208305033,4701341
2014-01-06,277.0318298339844,278.12531787988235,274.0037178552469,276.3168700265211,2704888
2014-01-07,279.00848388671875,281.3637039238727,274.63453229989955,277.9991323529767,4110547
2014-01-08,279.59735107421875,280.94319136046937,275.64396659499755,280.10205542265606,6305970
2014-01-09,277.2420654296875,280.1019896070668,275.2653736545404,279.59728537721986,3730440
2014-01-10,278.04119873046875,280.22817473371975,275.0551265776656,275.0551265776656,3787879
2014-01-13,278.4197082519531,280.7748998747081,276.77947635969025,277.5785439733847,2555309
2014-01-14,275.854248046875,279.26088843880433,274.2140158938858,278.41975250871343,2474603
2014-01-15,278.8403015136719,280.2702495869073,276.90564913095074,277.49446133128924,2800811
2014-01-16,265.4240417480469,280.06001351104186,263.7417412323826,280.06001351104186,10508913
2014-01-17,261.51263427734375,267.9473852316365,257.6012904969718,265.8024777409321,6504517
2014-01-20,259.5359191894531,263.1108030542349,258.35832345523113,261.6808552047582,5217898
2014-01-21,256.4657897949219,261.59679857193424,254.57320552412835,261.59679857193424,7842351
2014-01-22,260.5453186035156,262.2696868768111,256.71811082017086,256.71811082017086,5951157
2014-01-23,264.6669921875,265.7184406054001,257.7275351652329,259.9145114172656,5278619
2014-01-24,263.4052734375,264.7511138107312,258.8630764189388,263.27912582442457,5058323
2014-01-27,258.1480712890625,262.5640914385802,255.5825670873942,258.9892071338531,5568181
2014-01-28,257.3909912109375,260.3349945537309,254.15256759634036,258.14801901438847,5757925
2014-01-29,253.94232177734375,264.7510535302904,253.14322567740814,260.7556015127943,8611443
2014-01-30,259.6201171875,261.302389069451,252.42830805272442,254.0264720370152,9410790
2014-01-31,264.9613952636719,266.01284372597974,259.9986302966932,260.755658378817,3675441
2014-02-03,257.2649230957031,263.3632447405597,255.54058284675975,263.3632447405597,4028120
2014-02-04,266.0127258300781,267.23238955577915,251.88146527419067,254.78340022250637,7637040
2014-02-05,264.3725280761719,267.2324524889143,261.9332285324914,266.5595324485258,5097413
2014-02-06,265.04547119140625,268.7044631555514,262.8584668636706,264.5407669303204,7592592
2014-02-07,265.4240417480469,267.69515456474096,258.6107602623434,264.7511215417812,9224604
2014-02-10,258.2322082519531,264.7931654194543,256.80226006549844,264.7931654194543,10467267
2014-02-11,256.2135009765625,258.27433002739724,252.0077634421232,256.5499611186054,11167787
2014-02-12,259.03125,259.49388606228797,253.73202633855047,256.6339902909197,7256213
2014-02-13,254.78346252441406,260.83974294259457,253.26940666096024,258.6106988489537,3673969
2014-02-14,256.8863220214844,267.0642017836673,254.02642616003854,255.70872622035424,14159920
2014-02-17,256.2554626464844,261.5126466201516,254.86758293888727,261.47057843906225,3867756
2014-02-18,254.23672485351562,259.62008535877095,251.88153311464973,258.23217704769104,7408301
