Price,Close,High,Low,Open,Volume
Ticker,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS
Date,,,,,
2014-01-01,468.77520751953125,470.17002348606974,467.27879663093523,470.17002348606974,139080
2014-01-02,467.1217346191406,471.0936897470957,464.32288500175207,466.5859652250801,512655
2014-01-03,461.062255859375,466.0964762752665,459.08549592744356,465.5514888278301,531560
2014-01-06,456.54522705078125,464.6184710082407,454.50382887042934,464.6184710082407,664835
2014-01-07,460.24005126953125,463.334495787013,455.3166728585218,456.7207066198494,1116125
2014-01-08,467.8145751953125,469.2463194216887,456.4621317398682,460.9329003768163,1117355
2014-01-09,477.9107360839844,479.7581624691314,466.52133663343926,469.43105574163735,2098465
2014-01-10,485.051025390625,486.05789758635075,473.3568410740548,480.33086446501045,2598475
2014-01-13,485.23577880859375,487.67439518740684,480.33086397203846,485.8731431717158,1265375
2014-01-14,489.38330078125,492.4315434310629,483.3884104148545,484.3952827303706,1319320
2014-01-15,489.60498046875,492.1360022858119,487.90537955775835,489.5865445403384,1341170
2014-01-16,488.5518493652344,490.67637808125625,484.7645920741808,489.93741892511423,1587200
2014-01-17,489.9097900390625,492.4684937731584,488.0161891595217,488.27479955147254,2192375
2014-01-20,490.1960754394531,495.5720926037254,485.73452525021617,485.8731047708473,1475315
2014-01-21,489.8543395996094,493.0596536864094,487.00004103537486,489.5864830709058,964875
2014-01-22,493.3737487792969,496.5882530578143,488.69051553067175,490.2239111979777,986565
2014-01-23,493.1151428222656,496.542083151818,491.5078342895069,494.22355370142793,856245
2014-01-24,491.59100341796875,497.318037387183,488.92145834120936,491.9697010796497,1759145
2014-01-27,486.4458312988281,489.3463042206924,484.3952150971012,485.2635077431695,1705840
2014-01-28,489.9097900390625,491.5632164538746,485.19887503347485,486.95389637444686,909615
2014-01-29,490.5378723144531,496.36650021738546,489.309318000564,489.9374925756341,1219315
2014-01-30,483.9887390136719,488.82898666545066,482.8617797079899,487.72051966314876,2405415
2014-01-31,482.0951232910156,488.6442745755366,480.86662534855793,483.6562008279,675925
2014-02-03,490.14996337890625,493.92791897621527,481.2546003251497,481.2546003251497,733115
2014-02-04,479.7120361328125,489.9375489642563,478.52040991249396,489.9375489642563,975485
2014-02-05,479.5365295410156,482.344597638214,476.63605628768846,481.62413059113027,726990
2014-02-06,480.32159423828125,483.00038493820335,478.29866017455464,480.03524541551525,1093205
2014-02-07,486.2242126464844,489.56805029098314,482.50162097575486,482.54785174406527,1341315
2014-02-10,493.6600341796875,496.5881892106985,487.53581120957756,488.64427831519987,749915
2014-02-11,491.4985656738281,498.6203581354858,485.06025555869263,498.6203581354858,2510690
2014-02-12,483.1759033203125,496.03397492900643,480.92204091836237,496.03397492900643,2041060
2014-02-13,473.42156982421875,487.70214169953084,470.96446081551017,485.87320736327945,1751945
