Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2014-01-01,143.24119567871094,144.24257324739327,142.77818424293744,143.85494279680574,4492436
2014-01-02,141.48605346679688,145.30854577887547,140.74308754353183,143.20886690322666,7228992
2014-01-03,142.79969787597656,143.4242230236289,139.97859604408228,140.4092994165256,6513184
2014-01-06,142.49818420410156,142.7781387100229,141.4860288574435,142.7781387100229,5963420
2014-01-07,143.07968139648438,144.49023246832596,140.68926952882072,143.6611204983246,7896920
2014-01-08,143.14427185058594,143.6288131560606,142.13211627256737,143.25194769624696,4649480
2014-01-09,142.76739501953125,143.43497995184774,141.50757983922534,142.82123293807365,3777472
2014-01-10,142.5735626220703,145.2977663547544,141.3352905879452,142.767384371977,6150508
2014-01-13,144.89938354492188,145.78233338584405,141.46453450541097,142.15364941809975,4752580
2014-01-14,144.78094482421875,145.5777487405087,143.91953802693763,144.08105180142783,3577120
2014-01-15,146.5575714111328,147.02058274351344,144.19946807593305,144.9316689866693,4627840
2014-01-16,144.94244384765625,147.51589902143337,144.360991689862,147.38669327260055,4501176
2014-01-17,143.20889282226562,145.36241000756286,141.92754746820862,145.36241000756286,43374856
2014-01-20,144.29640197753906,145.72849602051141,143.5103761697322,143.8764635394925,5600368
2014-01-21,145.59925842285156,146.1807105590326,144.2856184971286,144.92090855065933,6251924
2014-01-22,145.81463623046875,147.4513170976982,145.28703506108425,145.47007875527578,7033336
2014-01-23,146.33145141601562,146.67600881074767,144.87782772645255,145.3623689563069,5482740
2014-01-24,145.0178680419922,145.3516606126459,142.92895351979723,144.28566686298703,8842900
2014-01-27,139.8063201904297,143.18734436223744,139.03104621772155,143.18734436223744,17060448
2014-01-28,138.7834014892578,141.27071092009797,137.52358619601006,139.5478973722919,18395424
2014-01-29,138.99874877929688,140.17241810036313,137.94352025708525,139.44021710813175,10970924
2014-01-30,136.05918884277344,137.8035453377975,135.16548725687497,137.28669604800737,11425460
2014-01-31,135.34852600097656,137.02826641562083,134.61632505776146,135.6715535093321,9620984
2014-02-03,134.91781616210938,136.532953626141,134.6163185778812,135.6607820243684,4776820
2014-02-04,135.80075073242188,136.85597911776804,132.82890047086406,133.87336390207858,7409304
2014-02-05,137.27597045898438,137.78204179467636,134.61636856095504,135.8869490953689,6905384
2014-02-06,139.33255004882812,139.89245921181632,135.56389529480262,137.55589852193037,13466944
2014-02-07,139.4940643310547,140.94768831289124,138.27732196272237,140.4954549983742,4029468
2014-02-10,138.66493225097656,140.01088005918987,136.9636489637863,139.47250093590455,6280820
2014-02-11,138.8587646484375,139.36484899747822,137.67433037420545,139.1171893007111,4464856
2014-02-12,138.99874877929688,140.58157841859045,138.61111837212536,139.2463953325341,6436960
2014-02-13,136.20993041992188,139.5478812839674,135.94074083411175,139.1171779466712,3155200
2014-02-14,138.2127227783203,138.65419114840063,135.5315914001873,136.53298209429332,4249112
2014-02-17,140.0647430419922,140.4093004849592,138.06196182967165,138.25578360635552,3650120
2014-02-18,142.21829223632812,143.0796991835039,139.41871965800692,139.65560131086949,5019672
2014-02-19,144.29640197753906,144.77017833984738,141.05536156578657,141.31378623104789,4060948
2014-02-20,142.72433471679688,143.73649030398565,142.31516124196816,143.3811547524752,3448436
2014-02-21,143.07968139648438,144.19949977338058,142.0675257305741,142.0998206006623,3043872
2014-02-24,144.5009765625,144.9316799203614,141.2168634588068,142.58434136240743,5018984
2014-02-25,144.5225067138672,145.57773519999722,143.42421840709787,145.14703184141734,4020560
2014-02-26,145.87925720214844,146.26688766088415,143.97338663532392,144.2856492513147,4551340
2014-02-28,144.19949340820312,147.06368154029164,143.2411888561247,146.86985975221694,4903584
2014-03-03,143.46728515625,144.71632221321426,142.82123014636957,143.25193348628986,3678432
2014-03-04,144.6517333984375,145.11473164743276,143.04736067251528,143.4242261315697,6443868
2014-03-05,144.23178100585938,145.36237727354248,142.67048139810652,145.03934976849018,4006984
2014-03-06,145.49159240722656,145.94383882989914,143.87645477773236,144.9316832866114,4948680
2014-03-07,153.21197509765625,153.95494111815083,145.62082739995859,146.35301531984626,22767568
2014-03-10,158.16505432128906,158.69266860050794,150.74618583258075,152.1459718438833,26123852
2014-03-11,156.1622772216797,159.3602444368917,154.9562999179053,158.17581018769857,13000472
2014-03-12,156.2484130859375,157.8527857747999,154.29948295722255,155.32240346531302,7110216
2014-03-13,159.86631774902344,161.40608755098185,156.6683504914467,156.6683504914467,11448452
2014-03-14,157.66970825195312,159.338683459501,155.91458713092342,158.28345516744298,12208480
2014-03-18,158.06813049316406,160.39392596970842,156.84062330875855,158.36962809776304,8102724
2014-03-19,159.02645874023438,160.07090918326855,158.44500654612267,159.36025123225386,6055136
2014-03-20,157.2498016357422,159.02645302139987,156.7760253040954,159.02645302139987,5195084
2014-03-21,158.0358428955078,158.82188187357684,157.46516876569908,158.3158106262337,7525592
2014-03-24,161.65374755859375,162.13828884971105,158.0681367467161,158.17581258918662,11713860
2014-03-25,161.5460662841797,163.78571584584452,161.02921700009063,161.51375827491538,8031092
2014-03-26,160.66311645507812,162.87047115062103,160.24317805492626,162.11674027897223,9409312
2014-03-27,160.81385803222656,163.82878138334965,159.7909376095241,161.513750953023,24554932
2014-03-28,160.42625427246094,162.3967144745613,158.29426714858857,161.5030127907753,12160900
2014-03-31,161.2553253173828,162.1598049458855,160.0278181889879,161.07228165838626,8262428
2014-04-01,158.95108032226562,162.2782666283623,157.75588104757733,161.83679828380482,8051832
2014-04-02,157.61590576171875,160.65235930600554,155.4623888809412,160.42624266232866,10398752
2014-04-03,156.9483184814453,158.92955677739394,156.39917426772675,158.49885337149314,5559704
2014-04-04,156.22686767578125,157.85277011432072,155.06396342960838,156.24839758462716,7422408
