Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2014-01-01,1594.0609130859375,1605.7181833219418,1587.3286704739846,1599.4828889807877,214453
2014-01-02,1598.0369873046875,1639.9669546208102,1589.5425366782144,1589.5425366782144,1565710
2014-01-03,1625.32763671875,1634.4094905675488,1583.4428945283573,1595.868256091927,583504
2014-01-06,1633.5509033203125,1644.1238223499884,1619.8605026303064,1631.1110583267462,549379
2014-01-07,1667.935302734375,1675.6164351050875,1644.756334165385,1660.9319173375493,1614578
2014-01-08,1660.47998046875,1680.8123883928572,1651.0367506903694,1671.7757626488096,1398622
2014-01-09,1637.2559814453125,1679.908813047819,1627.586725210881,1679.7281246477048,947521
2014-01-10,1621.2613525390625,1639.7413223597653,1597.6757763195021,1636.6236196190575,670378
2014-01-13,1611.0047607421875,1639.9219686197644,1594.9647469975941,1626.5929431136938,559984
2014-01-14,1602.5101318359375,1619.1827738472537,1589.6329391255042,1611.2304984352545,530939
2014-01-15,1626.6832275390625,1632.9185223205716,1596.8623580113488,1617.556256200234,612338
2014-01-16,1617.4207763671875,1636.3525774625477,1613.0380340230975,1629.394307992289,429527
2014-01-17,1604.1820068359375,1634.5451622948506,1596.1394969242986,1606.8929949797412,310359
2014-01-20,1606.892822265625,1624.1979834523008,1592.25353198672,1603.0974833963912,340046
2014-01-21,1628.3096923828125,1638.0691824646715,1610.326784234171,1610.326784234171,541958
2014-01-22,1633.6865234375,1643.7623841932295,1622.0744802786405,1631.562938241273,424767
2014-01-23,1620.9901123046875,1644.575685503795,1616.1554288591656,1623.068470221934,493794
2014-01-24,1603.3236083984375,1631.0208933025124,1598.8052947211133,1612.9476385932162,377713
2014-01-27,1538.3050537109375,1585.9280337336563,1527.1899584101875,1585.9280337336563,923081
2014-01-28,1415.1358642578125,1582.7653041172148,1392.0021199565451,1549.7816137944753,6599087
2014-01-29,1512.595947265625,1534.2387373909266,1459.5961022797048,1459.5961022797048,6737926
2014-01-30,1478.3017578125,1512.7312828694962,1468.9939883516947,1507.3093069452327,1651215
2014-01-31,1478.6182861328125,1495.5619639723789,1464.701856671835,1495.5619639723789,729347
2014-02-03,1462.5780029296875,1500.0800030048076,1457.653085598192,1463.9334969083063,957497
2014-02-04,1463.617431640625,1472.9703192745528,1436.8238083721096,1446.7640988702815,703285
2014-02-05,1451.914794921875,1466.734885049151,1447.7579686242013,1463.0298900949288,627278
2014-02-06,1481.7357177734375,1486.479947053161,1439.5347128760548,1455.077667534992,1237835
2014-02-07,1504.55322265625,1509.4782507356072,1489.688014827773,1495.5165953294209,921283
2014-02-10,1526.1507568359375,1537.6724564723465,1504.5984231075558,1504.5984231075558,896683
2014-02-11,1516.4815673828125,1534.4192497420422,1507.3997132115978,1527.415863884857,294694
2014-02-12,1488.965087890625,1527.0093783953123,1484.8082612501078,1522.671753016271,442825
2014-02-13,1483.1363525390625,1498.9956764725448,1475.229304201078,1487.428750208254,439092
2014-02-14,1485.0792236328125,1494.2514216082047,1460.0025850520726,1483.8140738585546,451950
2014-02-17,1505.2308349609375,1513.5445975436264,1477.4884356751652,1477.4884356751652,617227
2014-02-18,1543.8626708984375,1566.635039709027,1505.5925732723751,1513.6351942771819,954637
