Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2014-01-01,526.6201782226562,528.1383684700058,522.7097460519288,522.8477837684335,425464
2014-01-02,528.0003051757812,538.2594609548352,524.4579363149676,526.3901273011301,1311399
2014-01-03,533.3828735351562,534.9470573835902,524.4578773727193,529.0583850689712,1443488
2014-01-06,541.2496948242188,543.6419362053307,533.1528130436812,536.4191620612316,1832494
2014-01-07,546.724365234375,551.1408415476222,542.1238573750459,545.6202321164274,2986634
2014-01-08,552.8890991210938,561.26200159957,550.5427950072411,552.0609851799048,2427891
2014-01-09,558.5016479492188,560.7099141607051,551.3248669997017,552.8890508862927,1867544
2014-01-10,560.7100219726562,568.3468551714127,556.7535395697884,558.5017553365697,2548423
2014-01-13,554.22314453125,566.0924769543765,548.7025352476641,561.2619438312388,1570396
2014-01-14,555.327392578125,558.271729370587,550.0368075861498,552.0610426408771,2626299
2014-01-15,555.2813110351562,562.1360791305137,553.1190947563493,555.7413618313743,1582614
2014-01-16,545.3901977539062,557.8115687698113,543.1819315543285,555.7413402671605,905324
2014-01-17,546.5404052734375,552.5210662739045,542.8599985039194,544.4701764655836,1276748
2014-01-20,542.3078002929688,552.0608528974094,539.1794329964698,547.460345789931,1022330
2014-01-21,533.98095703125,546.5403667094566,531.4506775557433,546.5403667094566,1435394
2014-01-22,549.7147216796875,551.9689818704686,530.5766192996837,533.9809503518536,3419248
2014-01-23,560.6638793945312,563.5622218560658,550.7267934898392,550.7267934898392,2954935
2014-01-24,555.373291015625,565.5864522449085,551.1408462126349,559.3757665822453,1467628
2014-01-27,550.03662109375,564.758243906074,546.6782845848091,550.1746587710293,2991060
2014-01-28,535.4071655273438,555.9714146698343,533.7049438021961,549.7607286143583,1935622
2014-01-29,544.1941528320312,556.5695317271521,539.0875997119249,541.01979078703,2412064
2014-01-30,546.1722412109375,551.1408118951108,533.8889083508147,545.574208916526,1443395
2014-01-31,541.6638793945312,550.7268586321535,537.3393901937957,548.2886228341101,1585472
2014-02-03,546.8163452148438,552.8890491986235,541.20374816905,541.20374816905,1640565
2014-02-04,540.7896728515625,546.8623204703587,537.5233236602625,546.8623204703587,1873420
2014-02-05,536.9712524414062,548.8405851280452,536.4192139642084,540.8816841040956,2300454
2014-02-06,538.16748046875,545.528293708693,535.039112378355,540.8817354241404,1773116
2014-02-07,553.5791625976562,555.5573473871767,539.2715374678983,543.7340640237442,3201995
2014-02-10,562.7801513671875,565.5864499419964,555.7413518480785,557.1215042119395,1472255
2014-02-11,559.69775390625,574.5114223518615,558.5016331394717,567.6566546672882,2483629
2014-02-12,562.2282104492188,570.1411198606719,561.2621147620778,564.942522071993,1815098
2014-02-13,566.1384887695312,573.407313687052,561.5379808871874,565.8624695282992,3135266
2014-02-14,560.3878784179688,576.4436628610512,556.8455096571013,572.7632563942607,3027378
2014-02-17,556.7533569335938,565.1263137034342,553.0729511864643,561.2618764372413,998680
2014-02-18,561.0320434570312,563.0102846878701,555.7414583813807,556.6615601336678,873040
2014-02-19,573.4992065429688,575.7074724247351,562.3660017721877,564.0221731042453,2157227
2014-02-20,570.1409912109375,578.5598873375476,568.4387695190651,570.785017418004,1270381
2014-02-21,566.0004272460938,574.327334104744,562.6880283437586,572.3030996908506,1461648
2014-02-24,571.01513671875,574.0975113472707,563.1022839501924,563.1022839501924,1215618
2014-02-25,569.5889282226562,574.9715566933419,566.9666609236255,572.7632902194376,1202575
2014-02-26,577.9158935546875,583.3445164073895,571.1071742191978,572.3032952766503,1924757
