Price,Close,High,Low,Open,Volume
Ticker,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS
Date,,,,,
2014-01-01,355.81329345703125,359.10263945920735,355.2293867262033,359.10263945920735,698232
2014-01-02,353.47772216796875,358.47013025415373,349.0497620956017,355.8133494588876,1395500
2014-01-03,357.253662109375,359.2778772049624,352.3391129575026,353.84753893481,1327296
2014-01-06,353.4290771484375,358.810756661163,352.29046355123677,358.1295320078871,1485056
2014-01-07,351.1323547363281,355.27807865515194,347.6191727421577,353.5652996743331,1914320
2014-01-08,358.24627685546875,361.98329459186004,351.3172543198971,352.09579671174174,3080984
2014-01-09,355.99822998046875,360.8349195665846,352.54344831049644,360.04663593537896,2114704
2014-01-10,365.7008056640625,368.21160946416353,356.94220433293805,359.0442543968719,4740028
2014-01-13,366.7908020019531,370.78083195209376,364.58169261067235,366.09011856743285,2825948
2014-01-14,368.4938659667969,370.9949287853581,365.91494415295296,367.6374645371462,2811512
2014-01-15,366.7032470703125,370.9268304941941,361.52592060332114,369.80767568619643,2997644
2014-01-16,363.2386169433594,368.1531648752119,360.0757890664246,366.6933981627805,2719424
2014-01-17,345.5268249511719,363.8906877865075,344.50498812199646,363.4819578066827,3568576
2014-01-20,355.9301452636719,357.0979589721009,341.1573208594291,344.36880855760893,3220348
2014-01-21,355.9204406738281,361.0490846445609,352.485117138167,356.3097119241188,2171752
2014-01-22,358.5480041503906,361.24370267551427,355.209998589878,355.7744466271546,1580516
2014-01-23,356.3096923828125,359.96882767932533,353.37069935614954,358.51880185521003,2466672
2014-01-24,349.0887756347656,359.2974058587487,347.8139026379111,354.25633782860194,1847484
2014-01-27,342.6072998046875,348.9816154238345,342.0720519282706,348.3977086495615,3250360
2014-01-28,338.4226989746094,346.24704173477244,334.8219398482081,342.7533417077137,1896884
2014-01-29,340.52471923828125,344.74830220193337,339.4347408844875,340.612295753498,2850888
2014-01-30,334.4423828125,340.2717099092845,331.5812250502172,340.2717099092845,3146452
2014-01-31,347.8040466308594,350.3440505006799,335.5809462355938,339.639093402048,3665588
2014-02-03,343.1620788574219,352.4851304046197,342.6754897762449,349.7602315500285,3975364
2014-02-04,344.67047119140625,347.2396755434804,330.17985927940805,340.21331089329686,3782528
2014-02-05,358.1003112792969,360.06612612791554,353.273362555476,355.3656952985446,10358796
2014-02-06,359.20001220703125,360.34836703854194,354.5287576456827,357.93488076333267,3016132
2014-02-07,354.84991455078125,363.9685880613274,353.2830883979484,360.0758758895485,3547404
2014-02-10,356.6016540527344,358.2755156240537,350.53874976988766,354.8693922920309,2472804
2014-02-11,362.35308837890625,365.3310225737959,354.91801793463867,354.91801793463867,4193188
2014-02-12,365.0682678222656,366.6740115219596,363.04405283080575,364.74711433048117,2903348
2014-02-13,353.0301513671875,365.11702047669405,351.56064270643697,363.9589241040027,3491476
2014-02-14,356.5432434082031,360.28997896356026,354.04218052959,355.988536662243,2972888
2014-02-17,354.9667053222656,358.84967636479917,352.8451723521809,357.1563560062275,1461116
2014-02-18,354.63580322265625,356.98114793877943,353.341471735413,355.9885111341548,1553416
2014-02-19,358.6842346191406,360.26077833239214,354.08109762043574,356.18317174425783,2200696
2014-02-20,356.62109375,362.01249060290525,354.26600763849484,356.97144734906635,1749768
2014-02-21,359.7254943847656,360.0758479567389,356.1831360869364,356.1831360869364,1601648
2014-02-24,356.4653015136719,359.70598847275096,355.1709939938379,359.10262296378954,2017476
2014-02-25,358.0516662597656,359.4919745370986,357.156347198471,357.20500610135906,1487976
2014-02-26,354.421630859375,359.24860248778225,352.94240528267756,358.1294479628982,3393952
2014-02-28,363.43328857421875,368.04614233961865,357.56502105599907,358.71337573559254,17263412
2014-03-03,371.06304931640625,373.89500694663303,363.9685908330056,363.9685908330056,4467620
2014-03-04,369.80767822265625,373.85610862478615,366.52807277552785,370.4889028930664,2343364
2014-03-05,370.5570373535156,375.64676380142805,368.3576690023418,370.7808730786116,2369100
2014-03-06,374.32318115234375,376.9897031616184,369.82710348730393,374.0701691246797,3514700
2014-03-07,357.3509216308594,376.61984387566065,355.2585891648835,376.61984387566065,5247672
2014-03-10,350.2662353515625,359.1416143231637,348.6118326838147,357.827823969364,3840996
2014-03-11,346.7919616699219,355.9398343784872,342.996567673815,352.0179224973313,3200908
2014-03-12,350.8793640136719,351.9012010188427,345.6728611778013,347.66787628313483,3084372
2014-03-13,346.55841064453125,355.2099531504499,341.9358153638062,350.34406338126564,2931680
2014-03-14,347.47320556640625,352.26123658374337,345.4781906625801,348.2030890678061,2415784
2014-03-18,349.2443542480469,351.9400523257212,343.5804635241506,347.07416274175074,2845732
2014-03-19,345.96484375,350.120309835882,336.9142866561182,349.37096738748244,3824476
2014-03-20,354.6553039550781,355.988553216097,342.6949307082167,342.6949307082167,3855660
2014-03-21,352.0860900878906,360.0564328645464,350.63606424402917,355.5992724806224,4484292
2014-03-24,358.96649169921875,359.8812696304982,352.6894928103147,354.43147214555825,3069820
2014-03-25,355.9495849609375,358.4798476911126,352.5239794880874,357.57478742424286,1699352
2014-03-26,353.3317565917969,359.9396499326996,349.4195855081251,356.961715539285,2969424
2014-03-27,356.85467529296875,365.0780304063664,348.5924025584665,352.09584379020987,9480328
2014-03-28,357.4969787597656,360.0759007516354,354.6261033348539,359.8423475088944,4413904
2014-03-31,349.43902587890625,355.7160240897519,347.804082058189,353.70155034602396,3370412
2014-04-01,354.14923095703125,356.3777991707095,349.5850116820762,351.51190895811106,5192828
2014-04-02,356.53350830078125,358.9080531618262,353.99350416923613,356.3777903141561,2538864
2014-04-03,352.55316162109375,356.41667322583487,351.3172304100009,356.1831200278679,1980852
2014-04-04,352.8938293457031,355.98854038079395,351.5800389424388,353.26364176661616,2009040
2014-04-07,348.981689453125,352.4753895566175,347.8138756568513,351.51195267838466,1867688
2014-04-09,338.2280578613281,351.70657491320384,337.20622082851446,349.56558303492756,6646300
2014-04-10,332.4765930175781,338.27674463292936,330.880590262359,338.2280857225967,6020084
2014-04-11,338.578369140625,340.59284285863777,326.2773849048894,330.8805216192619,9009652
2014-04-15,343.3760986328125,344.69963014949985,337.3423953382702,339.6391048056901,5604608
2014-04-16,340.7290344238281,345.86741837951064,338.48100777768457,344.5049693481901,3022520
