Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2023-09-18,1215.9300537109375,1221.8001063622505,1201.6742765512731,1213.1348122081538,2761885
2023-09-20,1205.1217041015625,1214.998200468065,1194.0338910274736,1194.0338910274736,2220756
2023-09-21,1190.772705078125,1197.294934292168,1173.349081101785,1196.3631872615904,3112700
2023-09-22,1186.7662353515625,1195.9905543860068,1178.7532330421502,1185.6015514769776,1321467
2023-09-25,1177.2156982421875,1192.636156542948,1170.8332540584177,1183.318686569956,1246703
2023-09-26,1175.352294921875,1182.3403979407265,1171.2992179186724,1177.728295443747,903152
2023-09-27,1175.026123046875,1181.129111413601,1167.7585646647383,1172.6036035861628,1670373
2023-09-28,1157.136474609375,1179.591551700497,1154.0151453048136,1175.0259692344982,1807072
2023-09-29,1150.5211181640625,1164.4040559897742,1143.486383570254,1150.8005739910145,2338327
2023-10-03,1154.1549072265625,1170.9263524102198,1139.2469559522006,1148.378121603204,2162636
2023-10-04,1154.9471435546875,1159.838815746056,1141.390177986003,1149.7759017426347,2253785
2023-10-05,1151.126708984375,1168.3640273362928,1143.9989359000344,1163.7519254889382,2995200
2023-10-06,1153.22314453125,1170.2741590640244,1146.1418905203104,1166.5471712963044,2497711
2023-10-09,1164.31103515625,1180.197367093181,1147.120348402727,1151.639298631017,3430211
2023-10-10,1175.6783447265625,1178.4269527282781,1163.0064952402122,1169.8549263003504,1532394
2023-10-11,1160.5841064453125,1187.4649861760815,1156.298092749331,1179.5917690738543,2186131
2023-10-12,1140.225341796875,1163.332711890136,1132.2123406921394,1160.0249646881384,3921609
2023-10-13,1170.1810302734375,1180.0575253056059,1126.0628344477586,1128.3455690052024,5740821
2023-10-16,1183.9241943359375,1191.983827585563,1174.28063688775,1176.7963079651443,2527113
2023-10-17,1189.980712890625,1191.7044221060667,1184.2504460491093,1191.6112701530844,1687345
2023-10-18,1182.80615234375,1194.0337488919963,1180.8961392874996,1190.7726344783234,1743126
2023-10-19,1180.8494873046875,1187.7444375581467,1178.5667527475716,1180.3370947197445,2279726
2023-10-20,1183.9066162109375,1186.493413650739,1171.5369982154373,1177.6983253205897,1625449
2023-10-23,1163.25927734375,1185.6938423516706,1159.167457219493,1173.9356725544505,1646367
2023-10-25,1156.0634765625,1178.5451244990743,1152.5831035642339,1158.1328689140262,1420065
2023-10-26,1158.697021484375,1164.717111993828,1140.1191149515028,1142.8939968323955,4617424
2023-10-27,1193.4071044921875,1194.630000028865,1160.2490670898114,1163.588433098981,2675348
2023-10-30,1189.691650390625,1199.1452650787755,1181.4609313228898,1194.6300818312661,1158770
2023-10-31,1200.2740478515625,1203.8955414100758,1182.1193866206327,1196.5114332814949,2525870
2023-11-01,1184.23583984375,1209.6334878169823,1180.8025459599264,1204.0366446569378,1572719
2023-11-02,1197.828369140625,1199.333392000704,1189.9268555928554,1190.8675092336402,1368604
2023-11-03,1191.1026611328125,1210.903466010329,1188.0455368298062,1206.4823250458367,2052536
2023-11-06,1194.347900390625,1203.5663521443594,1190.067995153873,1200.5092277641568,1175823
2023-11-07,1198.345458984375,1201.8729095463518,1191.9020055896706,1193.6892701729116,1385282
2023-11-08,1192.419677734375,1204.7892967711934,1190.7735337704685,1204.0367278859087,937671
2023-11-09,1192.2784423828125,1200.0859132218643,1186.9167627734546,1192.419563388507,1483749
2023-11-10,1180.9434814453125,1195.5706904253195,1176.4284131936768,1187.3870502764405,1469902
2023-11-13,1186.1641845703125,1188.6098609547664,1178.9211978113765,1185.2235309743012,730991
2023-11-15,1200.885498046875,1206.8586257234315,1193.1251054808436,1199.333396568492,2410620
2023-11-16,1233.244140625,1239.7345596169525,1202.1554883640986,1207.6113260256873,3936945
2023-11-17,1231.456787109375,1247.0716152191649,1228.869989491534,1235.4545652460383,2882039
