Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2023-09-18,1127.0133056640625,1136.1951526285723,1122.0050363993553,1128.3390063701206,962842
2023-09-20,1132.4144287109375,1135.2131568960488,1118.5188457652246,1127.3570104815433,2303191
2023-09-21,1125.540283203125,1136.1460087736284,1120.630191769944,1128.3390113449823,2088934
2023-09-22,1111.98828125,1127.3568900060595,1108.0111794778397,1121.955789923278,1585418
2023-09-25,1103.837646484375,1116.3583789974412,1101.480778742155,1105.9488897922422,1009279
2023-09-26,1105.6051025390625,1109.680501808367,1098.3872931616445,1104.7704110924005,1966198
2023-09-27,1119.45166015625,1125.2947406898916,1103.0028544096983,1105.8998801827636,2332018
2023-09-28,1111.9393310546875,1131.2850429536982,1108.551296110259,1122.3977296921892,2685663
2023-09-29,1137.8154296875,1146.4080890755672,1113.9033101083332,1113.9033101083332,2288577
2023-10-03,1120.9246826171875,1141.05605672611,1118.7642904190227,1138.6993088282118,1946966
2023-10-04,1103.5921630859375,1118.5187926140838,1092.9863179802242,1117.6349522093951,1803871
2023-10-05,1098.9765625,1108.3548844210104,1091.807901442169,1104.426811553617,2348562
2023-10-06,1107.0291748046875,1111.7919391426333,1102.9046264022886,1107.7165396007858,1056281
2023-10-09,1102.8555908203125,1113.412286502477,1089.0581871181669,1091.0222235241508,1080276
2023-10-10,1106.2435302734375,1110.0734253253374,1099.6640561171707,1101.8244482616929,1092093
2023-10-11,1108.453125,1114.050581202713,1102.1681840814229,1107.716611295681,1456045
2023-10-12,1110.073486328125,1112.184849602596,1101.038846238018,1108.6986367627524,1221965
2023-10-13,1124.7056884765625,1126.5714274815962,1101.824612477668,1105.8508638244982,1934884
2023-10-16,1114.8853759765625,1126.620446206595,1112.6758348966193,1120.973841224518,1144308
2023-10-17,1116.3585205078125,1123.429004755459,1113.6088211474566,1118.1752305002353,798807
2023-10-18,1132.6597900390625,1140.9087667061026,1113.6577622772174,1116.5546679510826,2178517
2023-10-19,1120.9737548828125,1129.320909430779,1114.5906366990732,1126.7676861323366,1765065
2023-10-20,1121.6611328125,1124.4108317047671,1112.7247912255332,1117.5367043493668,957910
2023-10-23,1102.266357421875,1128.5353461017276,1097.8964240775804,1114.5907346404774,702730
2023-10-25,1100.1551513671875,1109.386027503132,1092.7900141042865,1104.7705894351598,1800673
2023-10-26,1083.8533935546875,1097.8471523129037,1077.7649289222707,1095.8831159959611,2223975
2023-10-27,1091.31689453125,1099.6640493912696,1087.7325040574815,1092.0042593343196,1250965
2023-10-30,1095.146728515625,1099.8113153056288,1084.0008451082504,1095.637737651415,1078813
2023-10-31,1069.02490234375,1099.4674640890034,1049.1390353972538,1099.3201373958295,6475786
2023-11-01,1096.128662109375,1112.1847555095649,1063.1328747083323,1072.3638697231272,3973264
2023-11-02,1112.479248046875,1117.0948053218174,1090.6293439973647,1107.5691572492324,3454692
2023-11-03,1120.5810546875,1125.098314878466,1111.1537030117274,1118.0278310904566,1741756
2023-11-06,1129.3209228515625,1130.3029410453464,1119.500740913723,1119.5989187580476,1428537
2023-11-07,1149.8941650390625,1152.4475082630504,1125.9330168238705,1128.3389134673182,1811831
2023-11-08,1155.5408935546875,1161.629478981454,1149.9434371565574,1153.8715103833945,1702301
2023-11-09,1155.0498046875,1161.9730812221146,1145.8679581284944,1159.7635401845066,1849169
2023-11-10,1158.1431884765625,1160.2545516696364,1149.0595197478751,1152.938563724749,957539
2023-11-13,1156.62109375,1166.195771281456,1152.6438720560566,1158.8796637040537,816825
