Stock,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Position,PnL,Quantity,Exit_Reason
RELIANCE.NS,2016-02-23,2016-03-03,205.77391052246094,219.46832275390625,LONG,10544.69741821289,770,PROFIT TARGET
RELIANCE.NS,2016-05-27,2016-06-24,213.57977294921875,210.0622272381338,LONG,-4695.923524298407,1335,STOP LOSS
RELIANCE.NS,2016-07-04,2016-07-18,216.20925903320312,220.4931182861328,LONG,6310.12467956543,1473,PROFIT TARGET
RELIANCE.NS,2016-08-12,2016-08-17,226.9682159423828,222.03794860839844,LONG,-5802.924652099609,1177,TREND REVERSAL
RELIANCE.NS,2016-09-12,2016-09-20,229.31285095214844,235.382568359375,LONG,6646.340560913086,1095,PROFIT TARGET
RELIANCE.NS,2016-11-23,2016-12-14,221.09571838378906,232.16148376464844,LONG,12493.249114990234,1129,PROFIT TARGET
RELIANCE.NS,2017-02-14,2017-02-20,230.0359344482422,235.64549255371094,LONG,8330.193786621094,1485,PROFIT TARGET
RELIANCE.NS,2017-05-30,2017-06-02,297.86566162109375,290.2839660644531,LONG,-6633.983612060547,875,TREND REVERSAL
RELIANCE.NS,2017-06-08,2017-06-12,291.8068542480469,289.12261962890625,LONG,-2439.969268798828,909,TREND REVERSAL
RELIANCE.NS,2017-06-14,2017-06-20,297.4602966308594,309.47918701171875,LONG,10841.039123535156,902,PROFIT TARGET
RELIANCE.NS,2018-01-08,2018-01-18,410.1693420410156,406.2600402832031,LONG,-2939.794921875,752,TREND REVERSAL
RELIANCE.NS,2018-02-19,2018-03-06,409.4846496582031,405.6140566832546,LONG,-2093.9907994471505,541,STOP LOSS
RELIANCE.NS,2018-03-14,2018-03-15,410.3902282714844,402.7702941894531,LONG,-4792.938537597656,629,TREND REVERSAL
RELIANCE.NS,2018-04-05,2018-04-13,401.18011474609375,414.7192077636719,LONG,8962.879577636719,662,PROFIT TARGET
RELIANCE.NS,2018-06-05,2018-06-08,418.6064147949219,434.8179931640625,LONG,12255.953247070312,756,PROFIT TARGET
RELIANCE.NS,2018-11-02,2018-11-19,477.9906921386719,511.3864440917969,LONG,10252.495849609375,307,PROFIT TARGET
RELIANCE.NS,2018-12-20,2018-12-21,501.8035583496094,489.2411804199219,LONG,-5464.6343994140625,435,TREND REVERSAL
RELIANCE.NS,2019-01-01,2019-01-02,498.4905700683594,491.9982604980469,LONG,-3012.431640625,464,TREND REVERSAL
RELIANCE.NS,2019-01-15,2019-01-21,502.3371887207031,550.3851928710938,LONG,24504.48211669922,510,PROFIT TARGET
RELIANCE.NS,2019-03-08,2019-03-12,563.4589233398438,592.0298461914062,LONG,12942.628051757812,453,PROFIT TARGET
RELIANCE.NS,2019-04-26,2019-05-07,619.3555908203125,600.1484517823858,LONG,-7625.234198056904,397,STOP LOSS
RELIANCE.NS,2019-05-22,2019-06-17,596.05419921875,574.2120425366442,LONG,-7710.281308783361,353,STOP LOSS
RELIANCE.NS,2019-07-10,2019-07-19,568.6839599609375,555.41015625,LONG,-6159.044921875,464,TREND REVERSAL
RELIANCE.NS,2019-07-22,2019-07-25,569.417724609375,547.6281127929688,LONG,-9805.325317382812,450,TREND REVERSAL
RELIANCE.NS,2019-08-13,2019-09-03,570.2633056640625,545.2832852033206,LONG,-7269.185954075896,291,STOP LOSS
RELIANCE.NS,2020-01-17,2020-01-22,707.2651977539062,685.9489135742188,LONG,-8654.411376953125,406,TREND REVERSAL
RELIANCE.NS,2020-02-12,2020-02-25,657.7432250976562,644.3275632072458,LONG,-4869.885266218987,363,STOP LOSS
RELIANCE.NS,2020-11-10,2020-11-20,945.2001342773438,886.0040123550913,LONG,-10300.125214471931,174,STOP LOSS
RELIANCE.NS,2020-12-24,2021-01-06,904.2099609375,867.9807739257812,LONG,-7789.275207519531,215,TREND REVERSAL
RELIANCE.NS,2021-01-18,2021-01-21,899.5849609375,951.9335327148438,LONG,12563.6572265625,240,PROFIT TARGET
RELIANCE.NS,2021-02-09,2021-02-12,886.9794921875,925.7252197265625,LONG,8252.839965820312,213,PROFIT TARGET
RELIANCE.NS,2021-08-04,2021-08-17,957.2315673828125,984.7598266601562,LONG,8781.514709472656,319,PROFIT TARGET
RELIANCE.NS,2021-12-02,2021-12-03,1129.7266845703125,1095.7825927734375,LONG,-5532.886962890625,163,TREND REVERSAL
RELIANCE.NS,2021-12-09,2021-12-15,1117.7142333984375,1079.834716796875,LONG,-6363.7587890625,168,TREND REVERSAL
RELIANCE.NS,2021-12-16,2021-12-17,1093.8033447265625,1064.9329833984375,LONG,-5341.016845703125,185,TREND REVERSAL
RELIANCE.NS,2021-12-24,2022-01-05,1079.652587890625,1123.6976318359375,LONG,8060.2430419921875,183,PROFIT TARGET
RELIANCE.NS,2022-02-15,2022-02-24,1100.1961669921875,1064.0437305651685,LONG,-7555.859213246968,209,STOP LOSS
RELIANCE.NS,2022-03-03,2022-03-04,1082.155029296875,1058.1531982421875,LONG,-4464.340576171875,186,TREND REVERSAL
RELIANCE.NS,2022-03-10,2022-03-22,1088.50244140625,1151.703857421875,LONG,10554.636474609375,167,PROFIT TARGET
RELIANCE.NS,2022-05-23,2022-06-03,1186.1707763671875,1264.705810546875,LONG,11151.974853515625,142,PROFIT TARGET
RELIANCE.NS,2023-01-09,2023-01-12,1185.4302978515625,1145.345703953618,LONG,-10421.994413465542,260,STOP LOSS
RELIANCE.NS,2023-09-12,2023-09-20,1210.4658203125,1185.2496831691906,LONG,-7010.08612584002,278,STOP LOSS
RELIANCE.NS,2023-11-17,2023-11-29,1169.121826171875,1191.5308837890625,LONG,7887.98828125,352,PROFIT TARGET
RELIANCE.NS,2024-03-28,2024-04-05,1474.933349609375,1449.3724365234375,LONG,-4984.3780517578125,195,TREND REVERSAL
RELIANCE.NS,2024-04-08,2024-04-09,1475.057373046875,1452.896484375,LONG,-4653.78662109375,210,TREND REVERSAL
RELIANCE.NS,2024-04-10,2024-04-12,1468.7044677734375,1456.3707275390625,LONG,-2565.41796875,208,TREND REVERSAL
RELIANCE.NS,2024-05-17,2024-05-24,1425.15185546875,1469.37451171875,LONG,8800.30859375,199,PROFIT TARGET
RELIANCE.NS,2024-06-07,2024-06-24,1459.1500244140625,1430.88427734375,LONG,-3900.673095703125,138,TREND REVERSAL
RELIANCE.NS,2024-08-19,2024-09-06,1482.4791259765625,1468.587047309233,LONG,-2820.091969467897,203,STOP LOSS
RELIANCE.NS,2024-09-23,2024-09-30,1487.434326171875,1476.271910034055,LONG,-2623.1677923876873,235,STOP LOSS
TCS.NS,2017-09-15,2017-09-28,1111.4384765625,1098.310791015625,LONG,-3675.751953125,280,TREND REVERSAL
TCS.NS,2017-10-11,2017-10-16,1108.91015625,1146.1866455078125,LONG,10959.287841796875,294,PROFIT TARGET
TCS.NS,2017-12-26,2018-01-10,1178.2353515625,1248.12109375,LONG,15444.7490234375,221,PROFIT TARGET
TCS.NS,2018-04-03,2018-04-12,1297.72998046875,1399.3638916015625,LONG,19208.809204101562,189,PROFIT TARGET
TCS.NS,2018-11-01,2018-11-21,1747.3138427734375,1654.5690014987322,LONG,-8810.759921097006,95,STOP LOSS
TCS.NS,2018-11-27,2018-11-29,1706.2430419921875,1769.6995849609375,LONG,6916.76318359375,109,PROFIT TARGET
TCS.NS,2019-01-18,2019-01-29,1719.307861328125,1793.574951171875,LONG,10545.9267578125,142,PROFIT TARGET
TCS.NS,2019-03-08,2019-03-13,1829.7132568359375,1809.6309814453125,LONG,-2670.942626953125,133,TREND REVERSAL
TCS.NS,2019-03-15,2019-03-22,1845.317138671875,1814.2900390625,LONG,-4188.658447265625,135,TREND REVERSAL
TCS.NS,2019-07-29,2019-08-01,1946.905029296875,1992.6524658203125,LONG,6038.66162109375,132,PROFIT TARGET
TCS.NS,2019-08-23,2019-09-05,2054.486572265625,2024.8724365234375,LONG,-3583.3104248046875,121,TREND REVERSAL
TCS.NS,2019-11-14,2019-11-15,2012.8809814453125,1992.402587890625,LONG,-2232.1448974609375,109,TREND REVERSAL
TCS.NS,2019-12-06,2019-12-10,1945.8094482421875,1862.6221995011022,LONG,-10398.406092635667,125,STOP LOSS
TCS.NS,2019-12-16,2019-12-20,1948.6953125,2036.796142578125,LONG,9250.587158203125,105,PROFIT TARGET
TCS.NS,2020-01-03,2020-01-13,2016.4083251953125,2006.970947265625,LONG,-1132.4853515625,120,TREND REVERSAL
TCS.NS,2020-02-12,2020-02-24,1993.5279541015625,1956.83547232135,LONG,-4549.867740746359,124,STOP LOSS
TCS.NS,2020-09-04,2020-09-14,2128.28564453125,2316.677490234375,LONG,22607.021484375,120,PROFIT TARGET
TCS.NS,2020-11-24,2020-12-16,2541.94384765625,2627.996337890625,LONG,8605.2490234375,100,PROFIT TARGET
TCS.NS,2021-03-09,2021-04-01,2854.503173828125,2961.209716796875,LONG,8002.99072265625,75,PROFIT TARGET
TCS.NS,2021-05-11,2021-05-12,2921.539794921875,2888.793212890625,LONG,-2881.69921875,88,TREND REVERSAL
TCS.NS,2021-05-25,2021-06-09,2927.744873046875,3008.836181640625,LONG,8352.40478515625,103,PROFIT TARGET
TCS.NS,2021-11-08,2021-12-03,3306.7626953125,3436.758056640625,LONG,10659.61962890625,82,PROFIT TARGET
TCS.NS,2021-12-21,2021-12-29,3406.407470703125,3487.972412109375,LONG,6688.3251953125,82,PROFIT TARGET
TCS.NS,2022-03-09,2022-04-01,3435.373046875,3554.67431640625,LONG,7635.28125,64,PROFIT TARGET
TCS.NS,2024-04-10,2024-04-16,3879.994873046875,3771.082275390625,LONG,-7406.056640625,68,TREND REVERSAL
TCS.NS,2024-05-03,2024-05-08,3742.45458984375,3872.497314453125,LONG,9233.033447265625,71,PROFIT TARGET
TCS.NS,2024-05-23,2024-05-28,3818.7451171875,3766.222900390625,LONG,-4254.299560546875,81,TREND REVERSAL
TCS.NS,2024-06-07,2024-07-03,3819.2353515625,3889.16748046875,LONG,5035.11328125,72,PROFIT TARGET
TCS.NS,2024-11-06,2024-11-18,4079.57958984375,3979.9228268415322,LONG,-7175.286936159679,72,STOP LOSS
TCS.NS,2025-01-13,2025-01-21,4228.83203125,4024.9992800295468,LONG,-11006.968565904475,54,STOP LOSS
TCS.NS,2025-01-23,2025-01-27,4095.031494140625,4015.707763671875,LONG,-4600.7763671875,58,TREND REVERSAL
HDFCBANK.NS,2016-11-09,2016-11-17,280.68603515625,276.33658076764243,LONG,-4266.814755224025,981,STOP LOSS
HDFCBANK.NS,2016-12-06,2017-01-12,267.9443664550781,277.0407409667969,LONG,8887.157897949219,977,PROFIT TARGET
HDFCBANK.NS,2017-11-20,2017-12-05,417.8585205078125,416.42375277484973,LONG,-1368.7684172464812,954,STOP LOSS
HDFCBANK.NS,2018-02-27,2018-03-01,432.49822998046875,426.0876770019531,LONG,-4852.788604736328,757,TREND REVERSAL
HDFCBANK.NS,2018-03-15,2018-03-20,427.5539245605469,418.1653137207031,LONG,-7754.9925537109375,826,TREND REVERSAL
HDFCBANK.NS,2018-03-21,2018-04-02,422.57550048828125,439.0111083984375,LONG,13855.217468261719,843,PROFIT TARGET
HDFCBANK.NS,2018-09-28,2018-10-04,461.8893127441406,451.9113752361344,LONG,-6076.563942375788,609,STOP LOSS
HDFCBANK.NS,2018-10-12,2018-10-29,456.3172302246094,443.52703857421875,LONG,-6446.256591796875,504,TREND REVERSAL
HDFCBANK.NS,2019-02-06,2019-02-18,488.7361755371094,481.195556640625,LONG,-5542.354888916016,735,TREND REVERSAL
HDFCBANK.NS,2019-02-25,2019-02-27,489.369384765625,481.73663330078125,LONG,-5304.762268066406,695,TREND REVERSAL
HDFCBANK.NS,2019-03-07,2019-03-13,489.6226501464844,512.6589965820312,LONG,15987.224426269531,694,PROFIT TARGET
HDFCBANK.NS,2019-08-09,2019-08-22,531.9985961914062,511.7614371061563,LONG,-9956.682269942985,492,STOP LOSS
HDFCBANK.NS,2020-01-14,2020-01-20,601.2376708984375,585.105224609375,LONG,-9050.302368164062,561,TREND REVERSAL
HDFCBANK.NS,2020-02-07,2020-02-18,579.1837158203125,565.6856689453125,LONG,-6479.0625,480,TREND REVERSAL
HDFCBANK.NS,2021-04-26,2021-04-29,654.9970703125,686.5626220703125,LONG,7859.8223876953125,249,PROFIT TARGET
HDFCBANK.NS,2021-06-25,2021-07-02,706.4251098632812,696.2467651367188,LONG,-4050.981201171875,398,TREND REVERSAL
HDFCBANK.NS,2021-07-16,2021-07-19,715.9762573242188,694.8202190888805,LONG,-9752.93362649091,461,STOP LOSS
HDFCBANK.NS,2021-08-05,2021-08-16,698.3396606445312,719.8563232421875,LONG,8133.2984619140625,378,PROFIT TARGET
HDFCBANK.NS,2021-12-03,2021-12-17,711.8375244140625,703.0882724730959,LONG,-3000.9934157515395,343,STOP LOSS
HDFCBANK.NS,2022-02-04,2022-02-07,716.7523193359375,690.4855346679688,LONG,-8142.7032470703125,310,TREND REVERSAL
HDFCBANK.NS,2022-02-10,2022-02-14,717.2695922851562,693.095703125,LONG,-6913.7322998046875,286,TREND REVERSAL
