Stock,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Position,PnL,Quantity,Exit_Reason
RELIANCE.NS,2014-10-30,2014-11-10,209.54759216308594,209.07341408222925,LONG,-1053.623695663562,2222,STOP LOSS
RELIANCE.NS,2014-11-18,2014-12-01,211.55908203125,205.77069091796875,LONG,-14031.06005859375,2424,SIGNAL REVERSAL
RELIANCE.NS,2015-07-23,2015-07-24,226.49972534179688,222.11183166503906,LONG,-9381.316680908203,2138,SIGNAL REVERSAL
RELIANCE.NS,2015-10-07,2015-10-12,198.0057373046875,193.22787475585938,LONG,-9689.505249023438,2028,SIGNAL REVERSAL
RELIANCE.NS,2015-11-26,2015-12-07,214.2245330810547,207.16576200250813,LONG,-14484.598253177533,2052,STOP LOSS
RELIANCE.NS,2015-12-16,2016-01-05,212.05770874023438,217.79983520507812,LONG,11995.302185058594,2089,SIGNAL REVERSAL
RELIANCE.NS,2016-01-06,2016-01-18,223.66114807128906,227.0376839290612,LONG,7414.872743667588,2196,STOP LOSS
RELIANCE.NS,2016-03-02,2016-03-28,217.00894165039062,223.6107191886287,LONG,10384.596067648503,1573,STOP LOSS
RELIANCE.NS,2016-04-13,2016-04-20,233.59669494628906,227.29690551757812,LONG,-13513.048324584961,2145,SIGNAL REVERSAL
RELIANCE.NS,2016-07-04,2016-08-01,216.209228515625,221.2052459716797,LONG,14163.709487915039,2835,SIGNAL REVERSAL
RELIANCE.NS,2016-08-12,2016-08-17,226.9682159423828,222.0379638671875,LONG,-11255.765487670898,2283,SIGNAL REVERSAL
RELIANCE.NS,2016-08-29,2016-09-02,231.71224975585938,225.45381174213793,LONG,-14557.126819916082,2326,STOP LOSS
RELIANCE.NS,2016-09-12,2016-09-29,229.3128662109375,237.69155787846398,LONG,17436.05736012261,2081,STOP LOSS
RELIANCE.NS,2016-10-07,2016-10-10,243.008056640625,240.2361602783203,LONG,-5158.499130249023,1861,SIGNAL REVERSAL
RELIANCE.NS,2016-12-13,2017-01-04,227.84471130371094,234.10656726992173,LONG,15610.806923763495,2493,STOP LOSS
RELIANCE.NS,2017-02-14,2017-02-22,230.0359649658203,242.97834070050013,LONG,36885.77084383747,2850,TAKE PROFIT
RELIANCE.NS,2017-02-23,2017-03-06,259.1684265136719,279.64844142097036,LONG,38277.147861740865,1869,TAKE PROFIT
RELIANCE.NS,2017-04-05,2017-04-12,310.0599060058594,299.2704046908159,LONG,-15882.145935744004,1472,STOP LOSS
RELIANCE.NS,2017-05-30,2017-06-02,297.8656311035156,290.283935546875,LONG,-13381.692657470703,1765,SIGNAL REVERSAL
RELIANCE.NS,2017-06-14,2017-06-28,297.46026611328125,308.5835971535837,LONG,20177.722507108636,1814,STOP LOSS
RELIANCE.NS,2017-07-05,2017-07-14,316.11865234375,337.5019252156927,LONG,39366.60535724655,1841,TAKE PROFIT
RELIANCE.NS,2017-07-17,2017-08-03,342.7280578613281,363.7870797202264,LONG,40833.443384403785,1939,TAKE PROFIT
RELIANCE.NS,2017-09-05,2017-09-22,360.5850524902344,366.5093189463509,LONG,9810.585251328968,1656,STOP LOSS
RELIANCE.NS,2017-10-10,2017-10-18,372.4675598144531,402.6028552855399,LONG,42731.84897800101,1418,TAKE PROFIT
RELIANCE.NS,2017-10-19,2017-11-06,401.9310607910156,411.9141845703125,LONG,12349.124114990234,1237,SIGNAL REVERSAL
RELIANCE.NS,2017-11-23,2017-12-01,418.31927490234375,404.8818440490529,LONG,-17925.532758289974,1334,STOP LOSS
RELIANCE.NS,2018-01-08,2018-01-16,410.1694030761719,411.36766929673826,LONG,2050.2335033890786,1711,STOP LOSS
RELIANCE.NS,2018-01-22,2018-02-01,429.1416931152344,417.19100399624955,LONG,-17687.019896097543,1480,STOP LOSS
RELIANCE.NS,2018-02-21,2018-03-05,410.5227355957031,412.03016172162074,LONG,1968.6985204484095,1306,STOP LOSS
RELIANCE.NS,2018-04-11,2018-04-27,411.1853332519531,437.9154203088221,LONG,43623.50207681015,1632,TAKE PROFIT
RELIANCE.NS,2018-05-10,2018-05-16,433.40435791015625,422.3611145019531,LONG,-16045.83267211914,1453,SIGNAL REVERSAL
RELIANCE.NS,2018-06-05,2018-06-14,418.6064758300781,444.24162005112686,LONG,44656.421233066896,1742,TAKE PROFIT
RELIANCE.NS,2018-06-15,2018-06-26,448.00360107421875,436.0852178319261,LONG,-18533.085941765046,1555,STOP LOSS
RELIANCE.NS,2018-07-10,2018-07-20,456.11224365234375,494.26738746261344,LONG,45633.551997082555,1196,TAKE PROFIT
RELIANCE.NS,2018-07-31,2018-08-13,527.39501953125,528.1510620117188,LONG,813.501708984375,1076,SIGNAL REVERSAL
RELIANCE.NS,2018-08-23,2018-08-30,564.5039672851562,573.1845798370745,LONG,9713.605445596484,1119,STOP LOSS
RELIANCE.NS,2018-11-19,2018-11-22,511.3864440917969,490.47459722892955,LONG,-19092.516185797864,913,STOP LOSS
RELIANCE.NS,2018-11-28,2018-12-10,512.5648803710938,492.57194952036326,LONG,-18813.347930537388,941,STOP LOSS
RELIANCE.NS,2018-12-20,2018-12-21,501.80352783203125,489.2412109375,LONG,-12775.876281738281,1017,SIGNAL REVERSAL
RELIANCE.NS,2019-01-01,2019-01-02,498.4905700683594,491.9981994628906,LONG,-6998.7755126953125,1078,SIGNAL REVERSAL
RELIANCE.NS,2019-01-15,2019-01-21,502.3371887207031,540.8320615382061,LONG,45577.92941592348,1184,TAKE PROFIT
RELIANCE.NS,2019-01-22,2019-02-11,549.2512817382812,566.7199824893164,LONG,18464.416693844163,1057,STOP LOSS
RELIANCE.NS,2019-03-08,2019-03-19,563.4590454101562,607.7880983622297,LONG,47964.03529414345,1082,TAKE PROFIT
