Trade_No,Entry_Date,Entry_Time,Entry_Price,Exit_Date,Exit_Time,Exit_Price,Position_Type,Profit_Points,Percentage_Return,Days_Held,Exit_Reason,MA_200_at_Entry,MACD_at_Entry,MACD_Signal_at_Entry
1,2015-01-02,00:00:00,8395.45,2015-01-07,00:00:00,8102.1,LONG,-293.35,-3.49,5,MACD BEARISH CROSSOVER,7650.75,-17.5452,-20.1105
2,2015-01-09,00:00:00,8284.5,2015-02-05,00:00:00,8711.7,LONG,427.2,5.16,27,MACD BEARISH CROSSOVER,7854.49,133.9295,130.2
3,2015-02-19,00:00:00,8895.3,2015-02-23,00:00:00,8754.95,LONG,-140.35,-1.58,4,MACD BEARISH CROSSOVER,7962.24,83.7994,81.8357
4,2015-03-03,00:00:00,8996.25,2015-03-09,00:00:00,8756.75,LONG,-239.5,-2.66,6,MACD BEARISH CROSSOVER,8058.12,81.7797,74.161
5,2015-04-06,00:00:00,8659.9,2015-04-21,00:00:00,8377.75,LONG,-282.15,-3.26,15,MACD BEARISH CROSSOVER,8225.76,-8.8894,-9.7586
6,2015-08-06,00:00:00,8588.65,2015-08-10,00:00:00,8525.6,LONG,-63.05,-0.73,4,MACD BEARISH CROSSOVER,8433.11,40.8256,38.7234
7,2016-05-26,00:00:00,8069.65,2016-06-13,00:00:00,8110.6,LONG,40.95,0.51,18,MACD BEARISH CROSSOVER,7775.47,113.0372,106.02
8,2016-07-04,00:00:00,8370.7,2016-08-01,00:00:00,8636.55,LONG,265.85,3.18,28,MACD BEARISH CROSSOVER,7850.84,109.5972,107.7523
9,2016-08-31,00:00:00,8786.2,2016-09-14,00:00:00,8726.6,LONG,-59.6,-0.68,14,MACD BEARISH CROSSOVER,7937.67,78.6454,74.3538
10,2016-10-24,00:00:00,8708.95,2016-10-26,00:00:00,8615.25,LONG,-93.7,-1.08,2,MACD BEARISH CROSSOVER,8062.15,-11.6148,-15.4481
11,2017-02-22,00:00:00,8926.9,2017-02-27,00:00:00,8896.7,LONG,-30.2,-0.34,5,MACD BEARISH CROSSOVER,8421.78,123.7991,122.5505
12,2017-03-15,00:00:00,9084.8,2017-03-22,00:00:00,9030.45,LONG,-54.35,-0.6,7,MACD BEARISH CROSSOVER,8510.73,111.6488,105.9622
13,2017-04-05,00:00:00,9265.15,2017-04-07,00:00:00,9198.3,LONG,-66.85,-0.72,2,MACD BEARISH CROSSOVER,8564.14,97.1493,92.7582
14,2017-04-26,00:00:00,9351.85,2017-05-09,00:00:00,9316.85,LONG,-35.0,-0.37,13,MACD BEARISH CROSSOVER,8660.86,63.1126,62.9221
15,2017-05-10,00:00:00,9407.3,2017-05-22,00:00:00,9438.25,LONG,30.95,0.33,12,MACD BEARISH CROSSOVER,8700.97,79.2807,76.6533
16,2017-05-26,00:00:00,9595.1,2017-06-12,00:00:00,9616.4,LONG,21.3,0.22,17,MACD BEARISH CROSSOVER,8773.09,91.8805,90.9796
17,2017-07-07,00:00:00,9665.8,2017-08-07,00:00:00,10057.4,LONG,391.6,4.05,31,MACD BEARISH CROSSOVER,8980.51,106.1393,104.6325
18,2017-09-01,00:00:00,9974.4,2017-09-25,00:00:00,9872.6,LONG,-101.8,-1.02,24,MACD BEARISH CROSSOVER,9244.63,55.1109,53.2364
19,2017-10-10,00:00:00,10016.95,2017-11-08,00:00:00,10303.15,LONG,286.2,2.86,29,MACD BEARISH CROSSOVER,9538.63,109.7893,101.8169
20,2017-11-27,00:00:00,10399.55,2017-11-30,00:00:00,10226.55,LONG,-173.0,-1.66,3,MACD BEARISH CROSSOVER,9673.17,43.9564,43.1685
21,2017-12-15,00:00:00,10333.25,2018-02-02,00:00:00,10760.6,LONG,427.35,4.14,49,MACD BEARISH CROSSOVER,10006.66,162.9093,155.6606
22,2018-03-13,00:00:00,10426.85,2018-03-19,00:00:00,10094.25,LONG,-332.6,-3.19,6,MACD BEARISH CROSSOVER,10159.63,-77.193,-77.8839
23,2018-04-02,00:00:00,10211.8,2018-05-16,00:00:00,10741.1,LONG,529.3,5.18,44,MACD BEARISH CROSSOVER,10314.98,97.5172,91.884
24,2018-06-07,00:00:00,10768.35,2018-06-20,00:00:00,10772.05,LONG,3.7,0.03,13,MACD BEARISH CROSSOVER,10409.89,47.8179,46.1416
25,2018-07-09,00:00:00,10852.9,2018-08-14,00:00:00,11435.1,LONG,582.2,5.36,36,MACD BEARISH CROSSOVER,10607.59,140.1895,139.6993
26,2018-08-21,00:00:00,11570.9,2018-09-03,00:00:00,11582.35,LONG,11.45,0.1,13,MACD BEARISH CROSSOVER,10681.99,148.1864,145.7607
27,2018-12-14,00:00:00,10805.45,2018-12-24,00:00:00,10663.5,LONG,-141.95,-1.31,10,MACD BEARISH CROSSOVER,10767.83,65.3115,55.1575
28,2019-01-16,00:00:00,10890.3,2019-01-24,00:00:00,10849.8,LONG,-40.5,-0.37,8,MACD BEARISH CROSSOVER,10831.91,40.2979,36.6464
29,2019-02-04,00:00:00,10912.25,2019-02-14,00:00:00,10746.05,LONG,-166.2,-1.52,10,MACD BEARISH CROSSOVER,10857.57,34.2509,31.2311
30,2019-05-20,00:00:00,11828.25,2019-06-13,00:00:00,11914.05,LONG,85.8,0.73,24,MACD BEARISH CROSSOVER,11095.08,107.7481,106.9862
31,2019-07-03,00:00:00,11916.75,2019-07-08,00:00:00,11558.6,LONG,-358.15,-3.01,5,MACD BEARISH CROSSOVER,11114.64,34.688,33.6905
32,2019-09-20,00:00:00,11274.2,2019-10-07,00:00:00,11126.4,LONG,-147.8,-1.31,17,MACD BEARISH CROSSOVER,11256.29,87.9172,77.4803
33,2019-10-16,00:00:00,11464.0,2019-11-13,00:00:00,11840.45,LONG,376.45,3.28,28,MACD BEARISH CROSSOVER,11359.37,173.1119,165.5629
34,2019-11-28,00:00:00,12151.15,2019-11-29,00:00:00,12056.05,LONG,-95.1,-0.78,1,MACD BEARISH CROSSOVER,11428.9,131.7559,131.6021
35,2019-12-18,00:00:00,12221.65,2019-12-31,00:00:00,12168.45,LONG,-53.2,-0.44,13,MACD BEARISH CROSSOVER,11562.25,91.2493,86.7792
36,2020-01-14,00:00:00,12362.3,2020-01-21,00:00:00,12169.85,LONG,-192.45,-1.56,7,MACD BEARISH CROSSOVER,11634.58,65.9832,63.8848
