Trade_No,Entry_Date,Entry_Time,Entry_Price,Exit_Date,Exit_Time,Exit_Price,Position_Type,Profit_Points,Percentage_Return,Days_Held,Exit_Reason,Stop_Loss,Take_Profit,ATR_at_Entry,RSI_at_Entry
1,2014-09-22,00:00:00,8146.3,2014-09-23,00:00:00,8062.45,LONG,-83.85,-1.03,1,STOP LOSS,8062.45,8314.0,93.53,64.0
2,2015-07-17,00:00:00,8609.85,2015-07-21,00:00:00,8529.45,LONG,-80.4,-0.93,4,FAST REVERSAL,8524.28,8780.99,89.25,74.04
3,2016-09-22,00:00:00,8867.45,2016-09-26,00:00:00,8786.12,LONG,-81.33,-0.92,4,STOP LOSS,8786.12,9030.1,84.33,63.86
4,2017-02-02,00:00:00,8734.25,2017-02-06,00:00:00,8801.05,LONG,66.8,0.76,4,FAST REVERSAL,8645.82,8911.11,80.38,77.32
5,2017-03-30,00:00:00,9173.75,2017-04-05,00:00:00,9265.15,LONG,91.4,1.0,6,TIME LIMIT,9108.67,9303.9,62.26,67.29
6,2018-12-19,00:00:00,10967.3,2018-12-21,00:00:00,10849.53,LONG,-117.77,-1.07,2,STOP LOSS,10849.53,11202.85,129.35,70.2
7,2019-01-09,00:00:00,10855.15,2019-01-11,00:00:00,10794.95,LONG,-60.2,-0.55,2,FAST REVERSAL,10734.29,11096.87,111.66,59.11
8,2019-01-17,00:00:00,10905.2,2019-01-22,00:00:00,10922.75,LONG,17.55,0.16,5,TIME LIMIT,10799.24,11117.13,101.12,62.71
9,2019-05-27,00:00:00,11924.75,2019-06-03,00:00:00,12088.55,LONG,163.8,1.37,7,TIME LIMIT,11724.48,12325.29,171.72,70.79
10,2019-10-15,00:00:00,11428.3,2019-10-22,00:00:00,11588.35,LONG,160.05,1.4,7,TIME LIMIT,11542.22,11758.22,148.28,60.94
11,2020-04-17,00:00:00,9266.75,2020-04-22,00:00:00,9187.3,LONG,-79.45,-0.86,5,TIME LIMIT,8856.73,10086.79,355.8,62.79
12,2020-08-10,00:00:00,11270.15,2020-08-14,00:00:00,11178.4,LONG,-91.75,-0.81,4,FAST REVERSAL,11115.2,11580.06,148.67,65.77
13,2020-08-25,00:00:00,11472.25,2020-08-31,00:00:00,11554.05,LONG,81.8,0.71,6,STOP LOSS,11554.05,11722.94,167.14,68.62
14,2020-12-30,00:00:00,13981.95,2021-01-04,00:00:00,14132.9,LONG,150.95,1.08,5,FAST REVERSAL,13803.49,14338.87,157.74,74.59
15,2021-05-24,00:00:00,15197.7,2021-05-31,00:00:00,15579.82,LONG,382.12,2.51,7,TAKE PROFIT,15307.23,15579.82,170.79,67.18
16,2022-01-10,00:00:00,18003.3,2022-01-12,00:00:00,18212.35,LONG,209.05,1.16,2,FAST REVERSAL,17782.06,18445.79,201.45,75.2
17,2022-11-07,00:00:00,18202.8,2022-11-09,00:00:00,18157.0,LONG,-45.8,-0.25,2,FAST REVERSAL,18033.86,18540.68,170.36,79.01
18,2023-06-21,00:00:00,18856.85,2023-06-22,00:00:00,18771.25,LONG,-85.6,-0.45,1,FAST REVERSAL,18726.86,19116.83,129.58,68.11
19,2024-06-07,00:00:00,23290.15,2024-06-12,00:00:00,23322.95,LONG,32.8,0.14,5,TIME LIMIT,22744.01,24382.44,411.0,61.87
20,2024-07-30,00:00:00,24857.3,2024-08-02,00:00:00,24717.7,LONG,-139.6,-0.56,3,FAST REVERSAL,24599.27,25373.36,237.8,73.94
21,2024-12-03,00:00:00,24457.15,2024-12-09,00:00:00,24619.0,LONG,161.85,0.66,6,TIME LIMIT,24443.06,25072.45,277.52,65.41
