Trade_No,Entry_Date,Entry_Time,Entry_Price,Exit_Date,Exit_Time,Exit_Price,Position_Type,Profit_Points,Percentage_Return,Days_Held,Exit_Reason,Stop_Loss,Take_Profit,ATR_at_Entry
1,2014-11-05,00:00:00,8338.3,2014-12-02,00:00:00,8524.7,LONG,186.4,2.24,27,SIGNAL REVERSAL,8492.57,8670.74,77.88
2,2015-01-02,00:00:00,8395.45,2015-01-06,00:00:00,8255.91,LONG,-139.54,-1.66,4,STOP LOSS,8255.91,8744.31,104.71
3,2015-01-16,00:00:00,8513.8,2015-01-29,00:00:00,8929.79,LONG,415.99,4.89,13,TAKE PROFIT,8790.85,8929.79,103.05
4,2015-02-19,00:00:00,8895.3,2015-02-23,00:00:00,8754.95,LONG,-140.35,-1.58,4,SIGNAL REVERSAL,8728.34,9312.69,111.01
5,2015-03-03,00:00:00,8996.25,2015-03-09,00:00:00,8829.36,LONG,-166.89,-1.86,6,STOP LOSS,8829.36,9413.48,124.22
6,2015-04-09,00:00:00,8778.3,2015-04-17,00:00:00,8609.19,LONG,-169.11,-1.93,8,STOP LOSS,8609.19,9201.08,112.15
7,2015-06-01,00:00:00,8433.4,2015-06-02,00:00:00,8274.87,LONG,-158.53,-1.88,1,STOP LOSS,8274.87,8829.74,113.8
8,2016-05-31,00:00:00,8160.1,2016-06-13,00:00:00,8110.6,LONG,-49.5,-0.61,13,SIGNAL REVERSAL,8016.37,8519.43,86.29
9,2016-07-04,00:00:00,8370.7,2016-08-01,00:00:00,8636.55,LONG,265.85,3.18,28,SIGNAL REVERSAL,8567.42,8732.76,82.28
10,2016-08-31,00:00:00,8786.2,2016-09-14,00:00:00,8726.6,LONG,-59.6,-0.68,14,SIGNAL REVERSAL,8663.72,9092.41,84.05
11,2017-02-22,00:00:00,8926.9,2017-02-27,00:00:00,8896.7,LONG,-30.2,-0.34,5,SIGNAL REVERSAL,8812.87,9211.96,73.72
12,2017-03-15,00:00:00,9084.8,2017-03-22,00:00:00,9030.45,LONG,-54.35,-0.6,7,SIGNAL REVERSAL,8973.32,9363.49,73.74
13,2017-04-05,00:00:00,9265.15,2017-04-07,00:00:00,9198.3,LONG,-66.85,-0.72,2,SIGNAL REVERSAL,9165.52,9514.23,65.8
14,2017-04-26,00:00:00,9351.85,2017-05-09,00:00:00,9316.85,LONG,-35.0,-0.37,13,SIGNAL REVERSAL,9245.56,9617.57,65.76
15,2017-05-10,00:00:00,9407.3,2017-05-22,00:00:00,9438.25,LONG,30.95,0.33,12,SIGNAL REVERSAL,9305.21,9662.51,70.61
16,2017-05-26,00:00:00,9595.1,2017-06-12,00:00:00,9616.4,LONG,21.3,0.22,17,SIGNAL REVERSAL,9473.39,9899.36,68.73
17,2017-07-07,00:00:00,9665.8,2017-07-18,00:00:00,9834.7,LONG,168.9,1.75,11,STOP LOSS,9834.7,9918.32,71.72
18,2017-08-01,00:00:00,10114.65,2017-08-07,00:00:00,10057.4,LONG,-57.25,-0.57,6,SIGNAL REVERSAL,10005.23,10388.19,72.89
19,2017-09-01,00:00:00,9974.4,2017-09-25,00:00:00,9872.6,LONG,-101.8,-1.02,24,SIGNAL REVERSAL,9840.75,10308.52,88.58
20,2017-10-10,00:00:00,10016.95,2017-10-30,00:00:00,10347.77,LONG,330.82,3.3,20,TAKE PROFIT,10238.34,10347.77,83.81
21,2017-11-27,00:00:00,10399.55,2017-11-30,00:00:00,10278.45,LONG,-121.1,-1.16,3,STOP LOSS,10278.45,10702.29,81.82
22,2017-12-15,00:00:00,10333.25,2018-01-15,00:00:00,10698.1,LONG,364.85,3.53,31,TAKE PROFIT,10580.54,10698.1,85.17
23,2018-01-18,00:00:00,10817.0,2018-02-01,00:00:00,11020.0,LONG,203.0,1.88,14,STOP LOSS,11020.0,11151.97,101.9
24,2018-04-12,00:00:00,10458.65,2018-05-04,00:00:00,10629.14,LONG,170.49,1.63,22,STOP LOSS,10629.14,10866.54,91.29
25,2018-05-14,00:00:00,10806.6,2018-05-16,00:00:00,10741.1,LONG,-65.5,-0.61,2,SIGNAL REVERSAL,10675.43,11134.53,92.5
26,2018-06-07,00:00:00,10768.35,2018-06-20,00:00:00,10772.05,LONG,3.7,0.03,13,SIGNAL REVERSAL,10610.4,11163.21,89.22
27,2018-07-09,00:00:00,10852.9,2018-07-27,00:00:00,11205.72,LONG,352.82,3.25,18,TAKE PROFIT,11066.06,11205.72,86.64
28,2018-07-30,00:00:00,11319.55,2018-08-14,00:00:00,11435.1,LONG,115.55,1.02,15,SIGNAL REVERSAL,11191.74,11639.08,83.32
29,2018-08-21,00:00:00,11570.9,2018-09-03,00:00:00,11582.35,LONG,11.45,0.1,13,SIGNAL REVERSAL,11447.52,11879.35,89.52
30,2019-03-15,00:00:00,11426.85,2019-04-08,00:00:00,11604.5,LONG,177.65,1.55,24,SIGNAL REVERSAL,11572.45,11844.34,118.7
31,2019-05-20,00:00:00,11828.25,2019-06-06,00:00:00,11892.56,LONG,64.31,0.54,17,STOP LOSS,11892.56,12404.84,161.72
32,2019-07-03,00:00:00,11916.75,2019-07-08,00:00:00,11728.83,LONG,-187.92,-1.58,5,STOP LOSS,11728.83,12386.56,136.3
33,2019-11-28,00:00:00,12151.15,2019-11-29,00:00:00,12056.05,LONG,-95.1,-0.78,1,SIGNAL REVERSAL,11983.95,12569.15,113.06
34,2019-12-18,00:00:00,12221.65,2019-12-31,00:00:00,12168.45,LONG,-53.2,-0.44,13,SIGNAL REVERSAL,12058.44,12629.68,99.53
35,2020-01-14,00:00:00,12362.3,2020-01-21,00:00:00,12195.75,LONG,-166.55,-1.35,7,STOP LOSS,12195.75,12778.68,108.23
36,2020-02-12,00:00:00,12201.2,2020-02-18,00:00:00,11999.84,LONG,-201.36,-1.65,6,STOP LOSS,11999.84,12704.6,132.26
37,2020-08-26,00:00:00,11549.6,2020-08-31,00:00:00,11387.5,LONG,-162.1,-1.4,5,SIGNAL REVERSAL,11343.48,12064.89,156.61
38,2020-10-05,00:00:00,11503.35,2020-10-15,00:00:00,11775.17,LONG,271.82,2.36,10,STOP LOSS,11775.17,12154.89,177.59
39,2020-11-05,00:00:00,12120.3,2020-11-17,00:00:00,12781.19,LONG,660.89,5.45,12,TAKE PROFIT,12533.79,12781.19,175.14
40,2020-12-07,00:00:00,13355.75,2020-12-21,00:00:00,13581.99,LONG,226.24,1.69,14,STOP LOSS,13581.99,13979.53,184.32
41,2020-12-31,00:00:00,13981.75,2021-01-18,00:00:00,14391.31,LONG,409.56,2.93,18,STOP LOSS,14391.31,14623.75,180.89
42,2021-02-04,00:00:00,14895.65,2021-02-19,00:00:00,15041.8,LONG,146.15,0.98,15,STOP LOSS,15041.8,15894.57,219.1
43,2021-04-07,00:00:00,14819.05,2021-04-12,00:00:00,14422.85,LONG,-396.2,-2.67,5,STOP LOSS,14422.85,15809.54,272.32
44,2021-04-28,00:00:00,14864.55,2021-06-15,00:00:00,15830.43,LONG,965.88,6.5,48,TAKE PROFIT,15614.49,15830.43,159.13
45,2021-08-03,00:00:00,16130.75,2021-08-30,00:00:00,16707.35,LONG,576.6,3.57,27,TAKE PROFIT,16530.52,16707.35,152.76
46,2021-08-31,00:00:00,17132.2,2021-09-20,00:00:00,17460.48,LONG,328.28,1.92,20,STOP LOSS,17460.48,17727.8,157.02
47,2021-09-24,00:00:00,17853.2,2021-09-28,00:00:00,17748.6,LONG,-104.6,-0.59,4,SIGNAL REVERSAL,17605.15,18473.33,175.97
48,2021-10-13,00:00:00,18161.75,2021-10-22,00:00:00,18114.9,LONG,-46.85,-0.26,9,SIGNAL REVERSAL,17885.46,18852.47,208.85
49,2022-01-03,00:00:00,17625.7,2022-01-19,00:00:00,18066.08,LONG,440.38,2.5,16,STOP LOSS,18066.08,18524.02,208.93
